project_id,project_name,start_date,end_date,status,budget,department_id
1,Down-sized cohesive application,2025-11-18,2025-11-22,Cancelled,1260110,1
2,Upgradable user-facing open system,2024-05-07,2025-01-06,Completed,1173168,1
3,Multi-lateral client-server concept,2023-09-18,2024-03-08,Cancelled,2287387,1
4,Organized composite interface,2025-11-17,2025-12-30,On Hold,2279884,6
5,Digitized radical capacity,2025-03-31,2025-08-02,Active,1803166,1
6,Focused fault-tolerant intranet,2023-01-08,2025-08-24,Cancelled,1005682,4
7,Reactive discrete Internet solution,2023-06-21,2024-04-11,Active,540281,5
8,Compatible context-sensitive budgetary management,2023-11-18,2024-07-09,On Hold,2601553,3
9,Multi-layered 5thgeneration definition,2023-04-07,2025-10-21,Cancelled,1244464,4
10,Team-oriented neutral algorithm,2024-05-23,2024-06-29,Cancelled,2247923,7
11,Synchronized zero tolerance info-mediaries,2023-12-25,2025-08-07,Cancelled,3867828,3
12,Vision-oriented motivating architecture,2023-02-25,2024-10-12,Cancelled,2534056,8
13,Re-engineered optimal monitoring,2023-08-16,2023-08-16,Cancelled,2722547,3
14,Seamless next generation Internet solution,2024-10-03,2025-06-07,Cancelled,1102847,3
15,Diverse zero administration algorithm,2024-07-25,2025-07-03,Active,2949241,3
16,Synergized user-facing Graphical User Interface,2023-05-07,2024-11-01,Active,2732351,2
17,Networked 5thgeneration success,2025-05-16,2025-08-06,Cancelled,3675927,5
18,Seamless real-time time-frame,2024-03-25,2025-01-20,Cancelled,2164241,6
19,Assimilated intermediate array,2023-06-28,2025-03-27,Active,3410964,5
20,Triple-buffered bandwidth-monitored leverage,2023-10-23,2024-05-08,Completed,959860,2
21,Pre-emptive multimedia application,2024-06-13,2025-02-05,On Hold,2215659,5
22,Versatile zero-defect ability,2024-03-08,2025-02-07,Cancelled,1197032,6
23,Mandatory incremental installation,2024-09-21,2025-05-04,On Hold,1098676,1
24,De-engineered full-range interface,2023-01-07,2025-08-01,Completed,3006939,3
25,Assimilated zero tolerance encoding,2025-08-08,2025-09-15,On Hold,3102529,8
26,Upgradable local intranet,2025-09-08,2025-12-14,On Hold,2243848,7
27,Quality-focused clear-thinking capability,2023-06-25,2024-09-09,Cancelled,1397482,3
28,Innovative methodical contingency,2023-02-13,2024-09-25,Completed,2122489,8
29,Balanced bifurcated matrix,2023-10-30,2024-06-08,On Hold,3430869,6
30,Total zero-defect Local Area Network,2025-04-07,2025-11-28,On Hold,2927503,3
31,Vision-oriented upward-trending workforce,2025-04-14,2025-12-06,Completed,1747121,3
32,Expanded client-server portal,2025-10-27,2025-11-26,Cancelled,3681598,5
33,User-friendly systematic parallelism,2024-08-02,2025-11-28,Active,3554106,4
34,Business-focused stable focus group,2025-11-06,2025-12-24,On Hold,2300515,3
35,Pre-emptive exuding implementation,2024-11-26,2024-12-22,Active,3947063,8
36,Decentralized 24/7 capability,2024-06-21,2025-05-11,Completed,3186786,3
37,User-friendly radical definition,2025-05-08,2025-11-02,Cancelled,577233,6
38,Ergonomic bifurcated project,2025-02-24,2025-06-07,On Hold,3486481,6
39,Synergized foreground firmware,2024-04-28,2024-05-10,Active,3167607,7
40,Horizontal composite neural-net,2024-07-24,2024-08-06,On Hold,3304293,7
41,Customizable value-added leverage,2023-09-30,2025-10-17,On Hold,3741905,2
42,Adaptive incremental frame,2025-01-14,2025-02-24,Active,3386665,4
43,Switchable dynamic contingency,2023-09-27,2024-10-15,Completed,1120249,5
44,Implemented content-based toolset,2025-04-15,2025-09-01,Completed,1029575,5
45,Diverse value-added instruction set,2024-04-01,2025-12-04,Cancelled,2472468,2
46,Polarized impactful encoding,2025-08-08,2025-12-01,Cancelled,2309605,3
47,Re-engineered impactful framework,2025-08-19,2025-12-03,Active,1366173,7
48,Multi-tiered 6thgeneration moderator,2024-11-22,2025-05-12,Cancelled,1754575,3
49,Exclusive logistical forecast,2024-03-21,2024-06-01,Active,1468428,6
50,Balanced impactful neural-net,2025-06-28,2025-12-01,Active,623300,4
51,Persistent zero administration frame,2024-10-07,2025-02-20,Completed,884359,1
52,Diverse static analyzer,2024-05-11,2024-05-28,Cancelled,2237032,1
53,Streamlined bifurcated structure,2024-03-18,2024-11-02,Active,2950044,8
54,Triple-buffered stable initiative,2024-10-08,2024-11-21,Cancelled,3648062,3
55,Focused uniform task-force,2023-11-12,2025-01-08,Active,3372878,2
56,Seamless reciprocal strategy,2024-10-28,2025-09-29,Completed,2140649,6
57,Ergonomic dedicated superstructure,2025-04-06,2025-08-20,On Hold,1120891,7
58,Progressive upward-trending hierarchy,2025-03-18,2025-10-06,On Hold,1299520,3
59,Object-based multi-state toolset,2024-10-03,2025-01-31,Completed,2023052,5
60,Compatible motivating project,2024-10-25,2025-11-01,Active,2182019,5
61,Phased maximized service-desk,2023-07-02,2024-12-13,On Hold,3946921,7
62,Enhanced heuristic budgetary management,2023-09-23,2024-10-27,Completed,2967474,7
63,Extended directional orchestration,2025-07-28,2025-08-27,Cancelled,1773275,8
64,Down-sized foreground analyzer,2023-05-09,2023-09-22,Completed,1776326,7
65,Reverse-engineered impactful migration,2023-07-19,2025-02-24,Completed,2350564,3
66,Implemented incremental software,2023-12-22,2024-02-06,Completed,994857,3
67,Enhanced stable matrices,2025-07-16,2025-10-22,Active,2344539,2
68,Balanced actuating circuit,2025-02-06,2025-04-11,On Hold,2889163,7
69,Implemented high-level application,2025-04-29,2025-08-01,Cancelled,2042156,4
